user_id,session_id,rating,category,comment,related_query,timestamp,locale,country
U001,S001,positive,Helpful,Very helpful!,Where can I download the manual?,2024-04-01T10:32:00,en_US,US
U002,S002,negative,Off-topic,Not what I asked for.,How do I install the compressor?,2024-04-01T11:02:00,en_GB,GB
U003,S003,positive,Thank You,Thanks a lot!,Where's the product datasheet?,2024-04-01T11:45:00,en_US,CA
U004,S004,negative,Poor Phrasing,The answer made no sense.,How to reset the filter?,2024-04-01T12:10:00,en_US,US
U005,S005,positive,Excellent Service,Great support!,Is there a warranty for this product?,2024-04-01T13:05:00,en_US,AU
U006,S006,negative,Not Specific Enough,It was too vague.,How to configure Wi-Fi?,2024-04-01T13:40:00,en_GB,GB
U007,S007,positive,Helpful,Very clear and informative.,Where to find installation instructions?,2024-04-01T14:25:00,en_US,IN
U008,S008,negative,Incorrect Answer,The answer was wrong.,How to pair with Bluetooth?,2024-04-01T15:00:00,en_US,US
U009,S009,positive,Thank You,Appreciate the fast reply!,What’s the max load capacity?,2024-04-01T15:30:00,en_US,CA
U010,S010,negative,Too Technical,The answer was too complex.,How to clean the filter?,2024-04-01T16:00:00,en_US,AU
U011,S011,positive,Helpful,Very useful information!,Where can I find the user guide?,2024-04-01T16:30:00,en_GB,GB
U012,S012,negative,Not Relevant,This doesn't relate to my question.,How to change the battery?,2024-04-01T17:00:00,en_US,US
U013,S013,positive,Excellent Service,Superb customer service!,How to track my order?,2024-04-01T17:30:00,en_US,AU
U014,S014,negative,Confusing,The explanation was unclear.,How to set up the app?,2024-04-01T18:00:00,en_GB,GB
U015,S015,positive,Helpful,Very informative!,Where to find troubleshooting tips?,2024-04-01T18:30:00,en_US,IN
U016,S016,negative,Not Helpful,Did not answer my question.,How to update the firmware?,2024-04-01T19:00:00,en_US,US
U017,S017,positive,Thank You,Thanks for the quick response!,How to reset the device?,2024-04-01T19:30:00,en_US,CA
U018,S018,negative,Too Long,The response was too lengthy.,How to connect to the network?,2024-04-01T20:00:00,en_US,AU
U019,S019,positive,Helpful,Great explanation!,Where to find the installation video?,2024-04-01T20:30:00,en_GB,GB
U020,S020,negative,Not Clear,The instructions were not clear.,How to change the settings?,2024-04-01T21:00:00,en_US,US
U021,S021,positive,Excellent Service,Very satisfied with the help!,How to return the product?,2024-04-01T21:30:00,en_US,AU
U022,S022,negative,Irrelevant,This is not related to my issue.,How to find the serial number?,2024-04-01T22:00:00,en_GB,GB
U023,S023,positive,Helpful,Very useful!,Where to find the warranty information?,2024-04-01T22:30:00,en_US,IN
U024,S024,negative,Not Satisfactory,The answer was not satisfactory.,How to change the language?,2024-04-01T23:00:00,en_US,US
U025,S025,positive,Thank You,Thanks for the assistance!,How to set up the device?,2024-04-01T23:30:00,en_US,CA
U026,S026,negative,Not Relevant,This doesn't help with my problem.,How to check the battery status?,2024-04-02T00:00:00,en_US,AU
U027,S027,positive,Helpful,Very informative!,Where to find the installation guide?,2024-04-02T00:30:00,en_GB,GB
U028,S028,negative,Too Complicated,The instructions were too complicated.,How to connect to the app?,2024-04-02T01:00:00,en_US,US
U029,S029,positive,Excellent Service,Great customer support!,How to check the order status?,2024-04-02T01:30:00,en_US,AU
U030,S030,negative,Not Helpful,Did not help with my issue.,How to reset the password?,2024-04-02T02:00:00,en_GB,GB
U031,S031,positive,Helpful,Very clear instructions!,Where to find the product manual?,2024-04-02T02:30:00,en_US,IN
U032,S032,negative,Not Specific,The answer was too general.,How to set up the network?,2024-04-02T03:00:00,en_US,US
U033,S033,positive,Thank You,Appreciate the help!,How to find the installation video?,2024-04-02T03:30:00,en_US,CA
U034,S034,negative,Confusing,The explanation was confusing.,How to update the app?,2024-04-02T04:00:00,en_US,AU
U035,S035,positive,Helpful,Very useful information!,Where to find the troubleshooting guide?,2024-04-02T04:30:00,en_GB,GB
U036,S036,negative,Not Relevant,This is not related to my question.,How to change the display settings?,2024-04-02T05:00:00,en_US,US
U037,S037,positive,Excellent Service,Superb support!,How to track my shipment?,2024-04-02T05:30:00,en_US,AU
U038,S038,negative,Not Helpful,Did not answer my question.,How to connect to Wi-Fi?,2024-04-02T06:00:00,en_GB,GB
U039,S039,positive,Thank You,Thanks for the quick response!,How to reset the device?,2024-04-02T06:30:00,en_US,IN
U040,S040,negative,Too Long,The response was too lengthy.,How to change the settings?,2024-04-02T07:00:00,en_US,US
U041,S041,positive,Helpful,Great explanation!,Where to find the warranty information?,2024-04-02T07:30:00,en_US,AU
U042,S042,negative,Not Clear,The instructions were not clear.,How to change the language?,2024-04-02T08:00:00,en_GB,GB
U043,S043,positive,Excellent Service,Very satisfied with the help!,How to return the product?,2024-04-02T08:30:00,en_US,US
U044,S044,negative,Irrelevant,This is not related to my issue.,How to find the serial number?,2024-04-02T09:00:00,en_US,AU
U045,S045,positive,Helpful,Very useful!,Where to find the installation guide?,2024-04-02T09:30:00,en_GB,GB
U046,S046,negative,Not Satisfactory,The answer was not satisfactory.,How to check the battery status?,2024-04-02T10:00:00,en_US,US
U047,S047,positive,Thank You,Thanks for the assistance!,How to set up the device?,2024-04-02T10:30:00,en_US,CA
U048,S048,negative,Not Relevant,This doesn't help with my problem.,How to check the order status?,2024-04-02T11:00:00,en_US,AU
U049,S049,positive,Helpful,Very informative!,Where to find the installation guide?,2024-04-02T11:30:00,en_GB,en_GB
U050,S050,negative,Too Complicated,The instructions were too complicated.,How to connect to the app?,2024-04-02T12:00:00,en_US,US
